Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable,Instances,Rules_with_labels,Instances_with_labels,Variable_types
?b  181  ?f  ?a  945  ?f   => ?a  945  ?b,0.610328638,1.0,1.0,130,130,130,?a,52834986 181 92830433 209998 945 15604088 => 209998 945 15604088,?b /award/award_category/category_of ?f ?a /award/award_judging_term/award ?f => ?a /award/award_judging_term/award ?b,Technology & Engineering Emmy Award for Still Picture Transmission Technology for News /award/award_category/category_of Technology & Engineering Emmy Award 209998 /award/award_judging_term/award James Tiptree\ Jr. Award => 209998 /award/award_judging_term/award James Tiptree\ Jr. Award,"{'?b': ""['/award/award', '/award/award_category', '/symbols/namesake']"", '?f': ""['/award/award', '/award/award_category', '/symbols/namesake']""}"
?e  286  ?b  ?a  81  ?e   => ?a  81  ?b,0.29228312,1.0,1.0,3477,3477,3477,?a,28727806 286 28727806 38447050 81 87594338 => 38447050 81 87594338,?e /location/hud_county_place/place ?b ?a /organization/organization/place_founded ?e => ?a /organization/organization/place_founded ?b,Douglassville /location/hud_county_place/place Douglassville Oregon Scientific /organization/organization/place_founded Portland => Oregon Scientific /organization/organization/place_founded Portland,"{'?e': ""['/periodicals/newspaper_circulation_area', '/location/citytown', '/business/business_location', '/sports/sports_team_location', '/location/hud_county_place', '/location/location', '/business/employer', '/location/capital_of_administrative_division', '/government/governmental_jurisdiction', '/location/statistical_region', '/fictional_universe/fictional_setting', '/location/hud_foreclosure_area', '/film/film_location', '/location/place_with_neighborhoods', '/location/dated_location', '/travel/travel_destination', '/organization/organization_scope']"", '?b': ""['/periodicals/newspaper_circulation_area', '/location/citytown', '/business/business_location', '/sports/sports_team_location', '/location/hud_county_place', '/location/location', '/business/employer', '/location/capital_of_administrative_division', '/government/governmental_jurisdiction', '/location/statistical_region', '/fictional_universe/fictional_setting', '/location/hud_foreclosure_area', '/film/film_location', '/location/place_with_neighborhoods', '/location/dated_location', '/travel/travel_destination', '/organization/organization_scope']"", '?a': ""['/organization/organization', '/business/business_operation', '/business/employer']""}"
?f  284  ?b  ?a  286  ?f   => ?a  284  ?b,0.231484237,0.999604548,0.999604548,20222,20230,20230,?b,27909 284 27907 28727806 286 28727806 => 27909 284 27907,?f /location/hud_foreclosure_area/ofheo_price_change ?b ?a /location/hud_county_place/place ?f => ?a /location/hud_foreclosure_area/ofheo_price_change ?b,Buna /location/hud_foreclosure_area/ofheo_price_change 27907 Douglassville /location/hud_county_place/place Douglassville => Buna /location/hud_foreclosure_area/ofheo_price_change 27907,"{'?f': ""['/location/statistical_region', '/location/dated_location', '/location/citytown', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area']"", '?a': ""['/location/location', '/location/statistical_region', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/dated_location', '/location/census_designated_place']""}"
?a  1449  ?f  ?f  181  ?b   => ?a  1449  ?b,0.183406114,1.0,1.0,42,42,42,?b,22786331 1449 41109662 36915080 181 36915080 => 39570942 1449 34361193,?a /award/recurring_award_ceremony/awards ?f ?f /award/award_category/category_of ?b => ?a /award/recurring_award_ceremony/awards ?b,TCA Awards Ceremony /award/recurring_award_ceremony/awards TCA Awards 36915080 /award/award_category/category_of 36915080 => Guardian Children's Fiction Prize ceremony /award/recurring_award_ceremony/awards Guardian Children's Fiction Prize,"{'?a': ""['/award/recurring_award_ceremony', '/time/recurring_event']"", '?f': ""['/award/award']"", '?b': ""['/award/award', '/award/award_category']""}"
?e  1436  ?b  ?e  156  ?a   => ?a  1449  ?b,0.532751092,0.953125,1.0,122,128,122,?b,8526444 1436 56942767 50388042 156 14292171 => 22786331 1449 41109662,?e /award/award_announcement/award ?b ?e /time/event/instance_of_recurring_event ?a => ?a /award/recurring_award_ceremony/awards ?b,2013 Nobel Prize in Physics Announcement /award/award_announcement/award Nobel Prize 50388042 /time/event/instance_of_recurring_event 14292171 => TCA Awards Ceremony /award/recurring_award_ceremony/awards TCA Awards,"{'?e': ""['/award/award_announcement', '/time/event']"", '?b': ""['/award/award']"", '?a': ""['/time/recurring_event', '/award/recurring_award_ceremony']""}"
?a  176  ?f  ?f  209  ?b   => ?a  209  ?b,0.155062292,0.995177469,0.995177469,10318,10368,10368,?b,75878578 176 24430784 49581742 209 49581748 => 49581742 209 49581748,?a /education/educational_institution/campuses ?f ?f /education/educational_institution/phone_number ?b => ?a /education/educational_institution/phone_number ?b,Manchuria Mission College /education/educational_institution/campuses Manchuria Mission College\ main campus Manor College /education/educational_institution/phone_number 49581748 => Manor College /education/educational_institution/phone_number 49581748,"{'?a': ""['/location/location', '/business/employer', '/education/educational_institution', '/education/university', '/organization/organization', '/education/educational_institution_campus', '/organization/non_profit_organization', '/business/business_operation']"", '?f': ""['/location/location', '/business/employer', '/education/educational_institution', '/education/university', '/organization/organization', '/education/educational_institution_campus', '/organization/non_profit_organization', '/business/business_operation']""}"
?a  557  ?f  ?b  557  ?f   => ?a  176  ?b,0.178913502,0.955182626,0.998761354,4838,5065,4844,?b,31762596 557 54646989 31762596 557 54646989 => 45145545 176 45145545,?a /education/university/local_tuition ?f ?b /education/university/local_tuition ?f => ?a /education/educational_institution/campuses ?b,Towson University /education/university/local_tuition 54646989 Towson University /education/university/local_tuition 54646989 => Valley College /education/educational_institution/campuses Valley College,"{'?a': ""['/education/university', '/education/educational_institution_campus', '/organization/organization', '/business/employer', '/education/educational_institution', '/location/location']"", '?b': ""['/education/university', '/education/educational_institution_campus', '/organization/organization', '/business/employer', '/education/educational_institution', '/location/location']""}"
?f  1552  ?b  ?a  485  ?f   => ?a  486  ?b,0.657142857,0.998113208,0.998113208,529,530,530,?a,77224522 1552 62403627 69094780 485 97884168 => 59875833 486 96077275,?f /government/primary_election/party ?b ?a /government/election_campaign/election ?f => ?a /government/election_campaign/party ?b,2008 Democratic Primary\ California’s 5th Assembly District /government/primary_election/party Democratic Party 69094780 /government/election_campaign/election 97884168 => Saldana for Assembly 2008 /government/election_campaign/party Republican Party,"{'?f': ""['/government/election', '/government/primary_election', '/time/event']"", '?b': ""['/book/book_subject', '/government/political_party', '/organization/membership_organization', '/business/employer', '/organization/organization', '/government/election_campaign']"", '?a': ""['/government/election_campaign']""}"
?b  1059  ?f  ?a  2221  ?f   => ?a  1058  ?b,0.257425743,1.0,1.0,26,26,26,?b,86842840 1059 8910271 60876358 2221 46247542 => 45599620 1058 52934797,?b /location/fr_department/chef_lieu ?f ?a /location/fr_region/capital ?f => ?a /location/fr_region/departments ?b,Calvados /location/fr_department/chef_lieu Caen 60876358 /location/fr_region/capital 46247542 => Lorraine /location/fr_region/departments Meuse,"{'?b': ""['/location/fr_department', '/location/administrative_division', '/location/location', '/location/dated_location', '/location/statistical_region']"", '?f': ""['/sports/sports_team_location', '/location/dated_location', '/location/citytown', '/location/capital_of_administrative_division', '/travel/travel_destination', '/location/location', '/location/statistical_region']"", '?a': ""['/location/location', '/location/administrative_division', '/location/region', '/location/fr_region', '/location/statistical_region', '/location/dated_location']""}"
?a  558  ?f  ?b  558  ?f   => ?a  176  ?b,0.257978625,0.948599402,0.997426365,6976,7354,6994,?b,22226988 558 22226976 22226988 558 22226976 => 72042402 176 72042402,?a /education/educational_institution/faculty ?f ?b /education/educational_institution/faculty ?f => ?a /education/educational_institution/campuses ?b,Ave Maria University /education/educational_institution/faculty 22226976 Ave Maria University /education/educational_institution/faculty 22226976 => Artistic Academy of Hair Design /education/educational_institution/campuses Artistic Academy of Hair Design,"{'?a': ""['/organization/organization', '/education/educational_institution', '/business/employer', '/education/educational_institution_campus', '/location/location']"", '?b': ""['/organization/organization', '/education/educational_institution', '/business/employer', '/education/educational_institution_campus', '/location/location']""}"
?a  237  ?f  ?f  960  ?b   => ?a  960  ?b,0.247285291,0.974708171,0.996023857,501,514,503,?a,52505251 237 20023849 49550529 960 92837614 => 49550529 960 92837614,?a /tv/tv_series_episode/previous_episode ?f ?f /award/competition/type_of_competition ?b => ?a /award/competition/type_of_competition ?b,Murray And Me /tv/tv_series_episode/previous_episode Memoirs Of A Chaise Longue N.Y. vs. L.A. /award/competition/type_of_competition Reality television => N.Y. vs. L.A. /award/competition/type_of_competition Reality television,"{'?a': ""['/time/event', '/award/competition', '/tv/tv_series_episode']"", '?f': ""['/time/event', '/award/competition', '/tv/tv_series_episode']"", '?b': ""['/broadcast/genre', '/internet/website_category', '/media_common/netflix_genre', '/film/film_genre', '/tv/tv_series_season', '/award/competition_type', '/tv/tv_genre', '/media_common/media_genre', '/book/book_subject']""}"
?e  237  ?a  ?e  960  ?b   => ?a  960  ?b,0.247285291,0.982352941,0.996023857,501,510,503,?a,52505251 237 20023849 49550529 960 92837614 => 49550529 960 92837614,?e /tv/tv_series_episode/previous_episode ?a ?e /award/competition/type_of_competition ?b => ?a /award/competition/type_of_competition ?b,Murray And Me /tv/tv_series_episode/previous_episode Memoirs Of A Chaise Longue N.Y. vs. L.A. /award/competition/type_of_competition Reality television => N.Y. vs. L.A. /award/competition/type_of_competition Reality television,"{'?e': ""['/time/event', '/award/competition', '/tv/tv_series_episode']"", '?a': ""['/time/event', '/award/competition', '/tv/tv_series_episode']"", '?b': ""['/broadcast/genre', '/internet/website_category', '/media_common/netflix_genre', '/film/film_genre', '/tv/tv_series_season', '/award/competition_type', '/tv/tv_genre', '/media_common/media_genre', '/book/book_subject']""}"
?a  559  ?f  ?b  559  ?f   => ?a  176  ?b,0.327798528,0.948833226,0.99729973,8864,9342,8888,?b,27094479 559 27094481 27094479 559 27094481 => 72042402 176 72042402,?a /education/university/number_of_undergraduates ?f ?b /education/university/number_of_undergraduates ?f => ?a /education/educational_institution/campuses ?b,University of Phoenix-Des Moines Campus /education/university/number_of_undergraduates 27094481 University of Phoenix-Des Moines Campus /education/university/number_of_undergraduates 27094481 => Artistic Academy of Hair Design /education/educational_institution/campuses Artistic Academy of Hair Design,"{'?a': ""['/organization/organization', '/education/educational_institution', '/business/employer', '/education/educational_institution_campus', '/location/location']"", '?b': ""['/organization/organization', '/education/educational_institution', '/business/employer', '/education/educational_institution_campus', '/location/location']""}"
?e  286  ?a  ?e  290  ?b   => ?a  290  ?b,0.819524087,0.92310965,0.999874319,23867,25855,23870,?a,28727806 286 28727806 90755326 290 49131502 => 90755326 290 49131502,?e /location/hud_county_place/place ?a ?e /location/hud_county_place/county ?b => ?a /location/hud_county_place/county ?b,Douglassville /location/hud_county_place/place Douglassville Kings Park /location/hud_county_place/county Suffolk County => Kings Park /location/hud_county_place/county Suffolk County,"{'?e': ""['/location/dated_location', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area', '/location/census_designated_place', '/location/statistical_region']"", '?a': ""['/location/dated_location', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area', '/location/census_designated_place', '/location/statistical_region']"", '?b': ""['/government/governmental_jurisdiction', '/location/location', '/periodicals/newspaper_circulation_area', '/location/statistical_region', '/organization/organization_scope', '/location/dated_location', '/location/hud_foreclosure_area', '/location/us_county', '/location/administrative_division']""}"
?e  286  ?a  ?e  442  ?b   => ?a  442  ?b,0.150943396,0.995215311,0.995215311,208,209,209,?b,28727806 286 28727806 64041383 442 64041727 => 64041383 442 64041727,?e /location/hud_county_place/place ?a ?e /government/governmental_jurisdiction/government_bodies ?b => ?a /government/governmental_jurisdiction/government_bodies ?b,Douglassville /location/hud_county_place/place Douglassville Chula Vista /government/governmental_jurisdiction/government_bodies Chula Vista City Council => Chula Vista /government/governmental_jurisdiction/government_bodies Chula Vista City Council,"{'?e': ""['/location/dated_location', '/location/hud_foreclosure_area', '/location/citytown', '/location/hud_county_place', '/location/statistical_region', '/location/location', '/government/governmental_jurisdiction']"", '?a': ""['/location/dated_location', '/location/hud_foreclosure_area', '/location/citytown', '/location/hud_county_place', '/location/statistical_region', '/location/location', '/government/governmental_jurisdiction']"", '?b': ""['/government/governmental_body']""}"
?a  286  ?f  ?f  442  ?b   => ?a  442  ?b,0.150943396,1.0,1.0,208,208,208,?b,28727806 286 28727806 64041383 442 64041727 => 64041383 442 64041727,?a /location/hud_county_place/place ?f ?f /government/governmental_jurisdiction/government_bodies ?b => ?a /government/governmental_jurisdiction/government_bodies ?b,Douglassville /location/hud_county_place/place Douglassville Chula Vista /government/governmental_jurisdiction/government_bodies Chula Vista City Council => Chula Vista /government/governmental_jurisdiction/government_bodies Chula Vista City Council,"{'?a': ""['/location/dated_location', '/location/hud_foreclosure_area', '/location/citytown', '/location/hud_county_place', '/location/statistical_region', '/location/location', '/government/governmental_jurisdiction']"", '?f': ""['/location/dated_location', '/location/hud_foreclosure_area', '/location/citytown', '/location/hud_county_place', '/location/statistical_region', '/location/location', '/government/governmental_jurisdiction']"", '?b': ""['/government/governmental_body']""}"
?a  286  ?f  ?f  287  ?b   => ?a  287  ?b,0.242638015,0.999664964,0.999664964,23870,23878,23878,?b,28727806 286 28727806 27909 287 27572419 => 27909 287 27572419,?a /location/hud_county_place/place ?f ?f /location/hud_foreclosure_area/total_90_day_vacant_residential_addresses ?b => ?a /location/hud_foreclosure_area/total_90_day_vacant_residential_addresses ?b,Douglassville /location/hud_county_place/place Douglassville Buna /location/hud_foreclosure_area/total_90_day_vacant_residential_addresses 27572419 => Buna /location/hud_foreclosure_area/total_90_day_vacant_residential_addresses 27572419,"{'?a': ""['/location/location', '/location/statistical_region', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/dated_location', '/location/census_designated_place']"", '?f': ""['/location/location', '/location/statistical_region', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/dated_location', '/location/census_designated_place']""}"
?a  1319  ?f  ?f  286  ?b   => ?a  1319  ?b,0.926174497,1.0,1.0,2346,2346,2346,?a,64009351 1319 47378190 89320270 286 89320270 => 64009351 1319 47378190,?a /location/us_county/county_seat ?f ?f /location/hud_county_place/place ?b => ?a /location/us_county/county_seat ?b,Sherman County /location/us_county/county_seat Loup City 89320270 /location/hud_county_place/place 89320270 => Sherman County /location/us_county/county_seat Loup City,"{'?a': ""['/location/us_county', '/location/statistical_region', '/location/administrative_division', '/location/dated_location', '/location/location', '/location/hud_foreclosure_area']"", '?f': ""['/location/dated_location', '/location/capital_of_administrative_division', '/location/location', '/location/hud_foreclosure_area', '/location/hud_county_place', '/location/citytown', '/location/statistical_region']"", '?b': ""['/location/dated_location', '/location/capital_of_administrative_division', '/location/location', '/location/hud_foreclosure_area', '/location/hud_county_place', '/location/citytown', '/location/statistical_region']""}"
?a  1894  ?f  ?b  27  ?f   => ?a  2052  ?b,0.937457839,0.913727516,1.0,19456,21293,19456,?b,43575155 1894 86060155 72916212 27 99765912 => 4983902 2052 22709145,?a /astronomy/star_system/stars ?f ?b /astronomy/orbital_relationship/orbits ?f => ?a /astronomy/star_system/planetary_system ?b,Epsilon Boötis /astronomy/star_system/stars Epsilon Boötis A 72916212 /astronomy/orbital_relationship/orbits 99765912 => Solar System /astronomy/star_system/planetary_system 7723 Lugger,"{'?a': ""['/book/book_subject', '/astronomy/star_system', '/astronomy/celestial_object']"", '?f': ""['/astronomy/orbital_relationship', '/astronomy/celestial_object', '/astronomy/star']"", '?b': ""['/astronomy/astronomical_discovery', '/astronomy/star_system_body', '/astronomy/celestial_object', '/astronomy/asteroid', '/astronomy/orbital_relationship']""}"
?b  762  ?a  ?b  764  ?a   => ?a  765  ?b,1.0,1.0,1.0,862,862,862,?a,53460318 762 82411657 55916294 764 9781136 => 50491165 765 50491166,?b /biology/genomic_locus/band ?a ?b /biology/genomic_locus/annotation ?a => ?a /biology/cytogenetic_band/locus ?b,X - [151669058\151670754] /biology/genomic_locus/band Human Cytogenetic Band Xq28 55916294 /biology/genomic_locus/annotation 9781136 => Human Cytogenetic Band 9p13.1 /biology/cytogenetic_band/locus Locus for Human Cytogenetic Band 9p13.1,"{'?b': ""['/biology/genomic_locus']"", '?a': ""['/biology/cytogenetic_band']""}"
?a  286  ?f  ?f  290  ?b   => ?a  290  ?b,0.819558425,0.999874324,0.999874324,23868,23871,23871,?a,28727806 286 28727806 90755326 290 49131502 => 90755326 290 49131502,?a /location/hud_county_place/place ?f ?f /location/hud_county_place/county ?b => ?a /location/hud_county_place/county ?b,Douglassville /location/hud_county_place/place Douglassville Kings Park /location/hud_county_place/county Suffolk County => Kings Park /location/hud_county_place/county Suffolk County,"{'?a': ""['/location/dated_location', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area', '/location/census_designated_place', '/location/statistical_region']"", '?f': ""['/location/dated_location', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area', '/location/census_designated_place', '/location/statistical_region']"", '?b': ""['/government/governmental_jurisdiction', '/location/location', '/periodicals/newspaper_circulation_area', '/location/statistical_region', '/organization/organization_scope', '/location/dated_location', '/location/hud_foreclosure_area', '/location/us_county', '/location/administrative_division']""}"
?f  286  ?b  ?a  790  ?f   => ?a  790  ?b,0.569721116,1.0,1.0,143,143,143,?a,28727806 286 28727806 85225439 790 85225431 => 85225439 790 85225431,?f /location/hud_county_place/place ?b ?a /skiing/ski_area/closest_city ?f => ?a /skiing/ski_area/closest_city ?b,Douglassville /location/hud_county_place/place Douglassville Great Bear Recreation Park /skiing/ski_area/closest_city Sioux Falls => Great Bear Recreation Park /skiing/ski_area/closest_city Sioux Falls,"{'?f': ""['/government/governmental_jurisdiction', '/location/hud_foreclosure_area', '/location/dated_location', '/location/hud_county_place', '/periodicals/newspaper_circulation_area', '/location/citytown', '/travel/travel_destination', '/location/capital_of_administrative_division', '/location/statistical_region', '/location/location']"", '?b': ""['/government/governmental_jurisdiction', '/location/hud_foreclosure_area', '/location/dated_location', '/location/hud_county_place', '/periodicals/newspaper_circulation_area', '/location/citytown', '/travel/travel_destination', '/location/capital_of_administrative_division', '/location/statistical_region', '/location/location']"", '?a': ""['/skiing/ski_area', '/travel/tourist_attraction', '/location/location']""}"
?e  286  ?b  ?a  347  ?e   => ?a  347  ?b,0.704510683,1.0,1.0,13354,13354,13354,?a,28727806 286 28727806 23279121 347 61238269 => 23279121 347 61238269,?e /location/hud_county_place/place ?b ?a /broadcast/broadcast/area_served ?e => ?a /broadcast/broadcast/area_served ?b,Douglassville /location/hud_county_place/place Douglassville KMBI /broadcast/broadcast/area_served Spokane => KMBI /broadcast/broadcast/area_served Spokane,"{'?e': ""['/periodicals/newspaper_circulation_area', '/location/location', '/location/statistical_region', '/travel/travel_destination', '/sports/sports_team_location', '/government/governmental_jurisdiction', '/business/employer', '/location/citytown', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/capital_of_administrative_division', '/location/dated_location', '/film/film_location']"", '?b': ""['/periodicals/newspaper_circulation_area', '/location/location', '/location/statistical_region', '/travel/travel_destination', '/sports/sports_team_location', '/government/governmental_jurisdiction', '/business/employer', '/location/citytown', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/capital_of_administrative_division', '/location/dated_location', '/film/film_location']"", '?a': ""['/broadcast/broadcast', '/broadcast/radio_station']""}"
?a  105  ?f  ?f  286  ?b   => ?a  105  ?b,0.420923628,0.999907579,0.999907579,10819,10820,10820,?a,69529285 105 69529282 33658553 286 33658553 => 99639135 105 17087073,?a /transportation/road_starting_point/location ?f ?f /location/hud_county_place/place ?b => ?a /transportation/road_starting_point/location ?b,Porte d'Italie /transportation/road_starting_point/location 13th arrondissement 33658553 /location/hud_county_place/place 33658553 => 99639135 /transportation/road_starting_point/location Winnemucca,"{'?a': ""['/location/location', '/transportation/road', '/transportation/road_starting_point']"", '?f': ""['/location/neighborhood', '/location/statistical_region', '/location/location']"", '?b': ""['/location/hud_foreclosure_area', '/periodicals/newspaper_circulation_area', '/location/statistical_region', '/location/capital_of_administrative_division', '/location/location', '/location/citytown', '/location/hud_county_place', '/location/dated_location']""}"
?a  551  ?f  ?b  551  ?f   => ?a  176  ?b,0.319699715,0.953352448,0.997231515,8645,9068,8669,?b,70007830 551 70007831 70007830 551 70007831 => 72042402 176 72042402,?a /education/university/domestic_tuition ?f ?b /education/university/domestic_tuition ?f => ?a /education/educational_institution/campuses ?b,Anderson University /education/university/domestic_tuition 70007831 Anderson University /education/university/domestic_tuition 70007831 => Artistic Academy of Hair Design /education/educational_institution/campuses Artistic Academy of Hair Design,"{'?a': ""['/organization/organization', '/education/educational_institution', '/business/employer', '/education/educational_institution_campus', '/location/location']"", '?b': ""['/organization/organization', '/education/educational_institution', '/business/employer', '/education/educational_institution_campus', '/location/location']""}"
?f  286  ?b  ?a  327  ?f   => ?a  327  ?b,0.213877784,1.0,1.0,1498,1498,1498,?a,28727806 286 28727806 53158865 327 68399352 => 53158865 327 68399352,?f /location/hud_county_place/place ?b ?a /people/marriage/location_of_ceremony ?f => ?a /people/marriage/location_of_ceremony ?b,Douglassville /location/hud_county_place/place Douglassville 53158865 /people/marriage/location_of_ceremony Malibu => 53158865 /people/marriage/location_of_ceremony Malibu,"{'?f': ""['/film/film_location', '/location/hud_county_place', '/tv/tv_location', '/location/dated_location', '/travel/travel_destination', '/organization/organization_scope', '/government/governmental_jurisdiction', '/location/statistical_region', '/location/location', '/location/hud_foreclosure_area', '/location/citytown']"", '?b': ""['/film/film_location', '/location/hud_county_place', '/tv/tv_location', '/location/dated_location', '/travel/travel_destination', '/organization/organization_scope', '/government/governmental_jurisdiction', '/location/statistical_region', '/location/location', '/location/hud_foreclosure_area', '/location/citytown']""}"
?e  176  ?b  ?a  176  ?e   => ?a  176  ?b,0.879627233,0.998530708,0.998530708,23786,23821,23821,?b,75878578 176 24430784 48125036 176 48125036 => 75878578 176 24430784,?e /education/educational_institution/campuses ?b ?a /education/educational_institution/campuses ?e => ?a /education/educational_institution/campuses ?b,Manchuria Mission College /education/educational_institution/campuses Manchuria Mission College\ main campus 48125036 /education/educational_institution/campuses 48125036 => Manchuria Mission College /education/educational_institution/campuses Manchuria Mission College\ main campus,"{'?e': ""['/organization/organization', '/business/employer', '/education/university', '/education/educational_institution']"", '?b': ""['/education/educational_institution_campus', '/location/location']"", '?a': ""['/organization/organization', '/business/employer', '/education/university', '/education/educational_institution']""}"
?e  286  ?a  ?e  309  ?b   => ?a  309  ?b,0.667697344,0.999883268,0.999883268,25697,25700,25700,?b,28727806 286 28727806 72220984 309 95535010 => 72220984 309 95535010,?e /location/hud_county_place/place ?a ?e /location/citytown/postal_codes ?b => ?a /location/citytown/postal_codes ?b,Douglassville /location/hud_county_place/place Douglassville Stockton /location/citytown/postal_codes 95215 => Stockton /location/citytown/postal_codes 95215,"{'?e': ""['/location/hud_foreclosure_area', '/periodicals/newspaper_circulation_area', '/location/hud_county_place', '/organization/organization_scope', '/location/location', '/location/citytown', '/location/statistical_region', '/government/governmental_jurisdiction', '/location/dated_location', '/sports/sports_team_location', '/location/capital_of_administrative_division']"", '?a': ""['/location/hud_foreclosure_area', '/periodicals/newspaper_circulation_area', '/location/hud_county_place', '/organization/organization_scope', '/location/location', '/location/citytown', '/location/statistical_region', '/government/governmental_jurisdiction', '/location/dated_location', '/sports/sports_team_location', '/location/capital_of_administrative_division']"", '?b': ""['/location/location', '/location/postal_code']""}"
?a  286  ?f  ?f  291  ?b   => ?a  291  ?b,0.242640481,0.999664964,0.999664964,23870,23878,23878,?b,28727806 286 28727806 27909 291 62360172 => 27909 291 62360172,?a /location/hud_county_place/place ?f ?f /location/hud_foreclosure_area/total_residential_addresses ?b => ?a /location/hud_foreclosure_area/total_residential_addresses ?b,Douglassville /location/hud_county_place/place Douglassville Buna /location/hud_foreclosure_area/total_residential_addresses 62360172 => Buna /location/hud_foreclosure_area/total_residential_addresses 62360172,"{'?a': ""['/location/location', '/location/statistical_region', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/dated_location', '/location/census_designated_place']"", '?f': ""['/location/location', '/location/statistical_region', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/dated_location', '/location/census_designated_place']""}"
?b  286  ?f  ?a  801  ?f   => ?a  801  ?b,0.207126077,0.916811092,1.0,529,577,529,?b,28727806 286 28727806 65516814 801 17615644 => 65516814 801 17615644,?b /location/hud_county_place/place ?f ?a /geography/lake/cities ?f => ?a /geography/lake/cities ?b,Douglassville /location/hud_county_place/place Douglassville Torch Lake /geography/lake/cities Lake Linden => Torch Lake /geography/lake/cities Lake Linden,"{'?b': ""['/location/citytown', '/location/statistical_region', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area', '/location/dated_location']"", '?f': ""['/location/citytown', '/location/statistical_region', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area', '/location/dated_location']"", '?a': ""['/location/location', '/geography/lake', '/geography/body_of_water', '/geography/geographical_feature']""}"
?a  1657  ?f  ?f  286  ?b   => ?a  1657  ?b,0.160377358,1.0,1.0,51,51,51,?a,63307591 1657 93370458 36578545 286 36578545 => 34363167 1657 65391353,?a /book/place_of_publication_period/place_of_publication ?f ?f /location/hud_county_place/place ?b => ?a /book/place_of_publication_period/place_of_publication ?b,63307591 /book/place_of_publication_period/place_of_publication Dhaka 36578545 /location/hud_county_place/place 36578545 => 34363167 /book/place_of_publication_period/place_of_publication Greensboro,"{'?f': ""['/location/dated_location', '/location/administrative_division', '/business/employer', '/location/location', '/government/governmental_jurisdiction', '/location/statistical_region', '/travel/travel_destination', '/location/citytown', '/periodicals/newspaper_circulation_area']"", '?b': ""['/symbols/namesake', '/government/governmental_jurisdiction', '/location/capital_of_administrative_division', '/periodicals/newspaper_circulation_area', '/location/location', '/location/statistical_region', '/location/citytown', '/location/place_with_neighborhoods', '/location/dated_location', '/location/hud_foreclosure_area', '/travel/travel_destination', '/sports/sports_team_location', '/location/hud_county_place']""}"
?f  286  ?b  ?a  801  ?f   => ?a  801  ?b,0.207126077,0.996233522,1.0,529,531,529,?b,28727806 286 28727806 65516814 801 17615644 => 65516814 801 17615644,?f /location/hud_county_place/place ?b ?a /geography/lake/cities ?f => ?a /geography/lake/cities ?b,Douglassville /location/hud_county_place/place Douglassville Torch Lake /geography/lake/cities Lake Linden => Torch Lake /geography/lake/cities Lake Linden,"{'?f': ""['/location/citytown', '/location/statistical_region', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area', '/location/dated_location']"", '?b': ""['/location/citytown', '/location/statistical_region', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area', '/location/dated_location']"", '?a': ""['/location/location', '/geography/lake', '/geography/body_of_water', '/geography/geographical_feature']""}"
?a  176  ?f  ?f  806  ?b   => ?a  806  ?b,0.909090909,0.980392157,1.0,700,714,700,?a,75878578 176 24430784 63257165 806 63257168 => 63257165 806 63257168,?a /education/educational_institution/campuses ?f ?f /education/university/fraternities_and_sororities ?b => ?a /education/university/fraternities_and_sororities ?b,Manchuria Mission College /education/educational_institution/campuses Manchuria Mission College\ main campus Clarkson University /education/university/fraternities_and_sororities Phi Kappa Sigma => Clarkson University /education/university/fraternities_and_sororities Phi Kappa Sigma,"{'?a': ""['/education/educational_institution', '/organization/organization', '/education/educational_institution_campus', '/business/employer', '/business/business_operation', '/education/university', '/organization/non_profit_organization', '/award/ranked_item', '/organization/endowed_organization', '/location/location']"", '?f': ""['/education/educational_institution', '/organization/organization', '/education/educational_institution_campus', '/business/employer', '/business/business_operation', '/education/university', '/organization/non_profit_organization', '/award/ranked_item', '/organization/endowed_organization', '/location/location']"", '?b': ""['/organization/organization', '/business/employer', '/education/fraternity_sorority']""}"
